Species,mass,bmr,N,zona,origen
Crypturellus soui,220.8,0.77,1,Tropical,This Study
Struthio camelus,100000,63.05,N/A,Tropical,McKechnie & Wolf 2004
Apteryx australis ,2380,4.03,N/A,Temperate,McKechnie & Wolf 2004
Callipepla gambelii,126.1,0.76,N/A,Temperate,McKechnie & Wolf 2004
Colinus virginianus,258,1.32,5,Temperate,UCR
Odontophorus stellatus §,296.5,1.15,1,Tropical,This Study
Bonasa umbellus,644,2.38,N/A,Temperate,McKechnie & Wolf 2004
Dendragapus obscurus,1131,4.96,N/A,Temperate,McKechnie & Wolf 2004
Alectoris chukar,525.7,1.22,5,Temperate,UCR
Coturnix coturnix,97,0.89,N/A,Temperate,Wiersma et al. 2007
Coturnix pectoralis,95.8,0.64,N/A,Temperate,McKechnie & Wolf 2004
Excalfactoria chinensis,44.9,0.37,N/A,Tropical,McKechnie & Wolf 2004
Excalfactoria chinensis,42.4,0.42,7,Tropical,UCR
Gallus gallus,1196,3.02,20,Temperate,UCR
Gallus gallus,2710,6,N/A,Tropical,McKechnie & Wolf 2004
Pygoscelis adeliae,3970,12.23,N/A,Temperate,McKechnie & Wolf 2004
Spheniscus humboldti,3870,9.49,N/A,Temperate,McKechnie & Wolf 2004
Phoebastria immutabilis *,2522,7.46,N/A,Temperate,McKechnie & Wolf 2004
Diomedea exulans,8130,20.31,N/A,Temperate,McKechnie & Wolf 2004
Thalassarche chrysostoma *,3753,8.51,N/A,Temperate,McKechnie & Wolf 2004
Macronectes giganteus,4780,13.36,N/A,Temperate,McKechnie & Wolf 2004
Phalacrocorax auritus,1330,5.49,N/A,Temperate,McKechnie & Wolf 2004
Anhinga rufa §,1040,3.19,N/A,Tropical,McKechnie & Wolf 2004
Accipiter nisus,135,0.95,N/A,Temperate,Wiersma et al. 2007
Accipiter striatus,173.4,0.52,1,Tropical,This Study
Buteo lineatus,658,2.11,N/A,Temperate,McKechnie & Wolf 2004
Buteo lineatus,609,2.8,6,Temperate,UCR
Buteo jamaicensis,1140.9,4.33,6,Temperate,UCR
Turnix suscitator,58.1,0.39,N/A,Tropical,McKechnie & Wolf 2004
Haematopus ostralegus,554,2.91,N/A,Temperate,McKechnie & Wolf 2004
Pluvialis squatarola ,226,1.78,N/A,Temperate,McKechnie & Wolf 2004
Charadrius dubius,36,0.42,N/A,Temperate,Wiersma et al. 2007
Jacana jacana,107,1.01,N/A,Tropical,Wiersma et al. 2007
Thinocorus rumicivorus,55.5,0.31,N/A,Temperate,McKechnie & Wolf 2004
Scolopax minor,156.7,1.07,N/A,Temperate,McKechnie & Wolf 2004
Arenaria interpres,90,0.92,N/A,Temperate,McKechnie & Wolf 2004
Calidris tenuirostris,198.2,2.01,N/A,Temperate,White et al. 2007
Calidris canutus ,130,0.88,N/A,Temperate,McKechnie & Wolf 2004
Larus argentatus,1000,4.8,N/A,Temperate,McKechnie & Wolf 2004
Uria lomvia,989,6.8,N/A,Temperate,McKechnie & Wolf 2004
